Time,Temperature,Gas,Relative_Humididty,Pressure,Altitude,PM1,PM2.5,PM10
1708127932.8007257,33.914765625,76275,100,698.5282797662979,3029.2371084377414,3,4,5
1708127933.811593,26.80109375,25656,37.62243850695518,1008.3671772310269,40.732381318640684,3,4,5
1708127934.8224185,26.824140625,34305,37.55289215478648,1008.3694243972085,40.71359881918613,3,4,5
1708127935.8332188,26.8493359375,42357,37.46562187076496,1008.3663333380782,40.73943484171331,3,4,5
1708127936.8437614,26.8708203125,50247,37.3899850265443,1008.3607201630489,40.78635164828114,3,4,5
1708127937.8557956,26.8907421875,58062,37.3022489231937,1008.354323266992,40.83981931685426,2,4,5
1708127938.86791,26.9083203125,65044,37.23824245843652,1008.3476367751582,40.895707829667565,1,3,4
1708127939.8799162,26.922578125,71980,37.17989727996237,1008.3479110054934,40.893415691213626,1,3,4
1708127940.8919137,26.93390625,78474,37.11529232858716,1008.3522471075485,40.85717269913238,1,3,4
1708127941.9039714,26.9446484375,85038,37.05662717963158,1008.3485517830403,40.888059790981266,2,4,5
1708127942.9160328,26.9544140625,91196,37.00385563063881,1008.3432623015104,40.93227168383319,2,4,5
1708127943.928126,26.9626171875,95718,36.97482955092259,1008.3407289503332,40.953446651920736,2,4,5
1708127944.9401312,26.96828125,101473,36.927634161181665,1008.3428961065343,40.93533251497964,2,4,5
1708127945.9521832,26.9739453125,107279,36.90433107653855,1008.3432943590713,40.932003731590626,2,4,5
1708127946.9641812,26.9798046875,112801,36.85717540920363,1008.3475487961448,40.896443197287695,2,4,5
1708127947.976172,26.9856640625,117432,36.83986944505483,1008.3482654962629,40.89045270129016,2,4,5
1708127948.9881525,26.9907421875,122817,36.80458467076799,1008.3494761369287,40.880333639961165,2,4,5
1708127950.0001485,26.9962109375,127744,36.77531249187682,1008.3495552006866,40.87967279102208,2,4,5
1708127951.0121884,27.001484375,132874,36.74602538663862,1008.3528531922973,40.85210679410796,2,4,5
1708127952.0242047,27.0065625,137084,36.73461445451256,1008.3576013145072,40.81242012574336,2,4,5
1708127953.036216,27.0118359375,141095,36.717260550290845,1008.3555924722694,40.82921079887045,2,4,5
1708127954.048204,27.0173046875,145725,36.705891105198795,1008.3556710722971,40.82855382921518,2,4,5
1708127955.060205,27.0219921875,150000,36.682517923173,1008.359781608035,40.794196427684454,2,4,5
1708127956.072222,27.025703125,153969,36.67097165269034,1008.3569918731376,40.81751406735911,2,4,5
1708127957.084332,27.0301953125,158154,36.641622448549626,1008.3643215228826,40.75625024608248,2,4,5
1708127958.0963936,27.03234375,161948,36.63588033785133,1008.3607511741259,40.78609244667656,2,4,5
1708127959.1083684,27.0356640625,165279,36.62429734981983,1008.3626307795862,40.77038204831414,2,4,4
1708127960.1203609,27.0378125,169258,36.618555772361674,1008.3590603422589,40.800225029732864,2,4,4
1708127961.1324503,27.0387890625,172900,36.600776333849915,1008.3535778160044,40.84605009507503,2,4,4
1708127962.1445353,27.0409375,176148,36.59503551481775,1008.3517762844085,40.861108033825566,2,4,4
1708127963.156536,27.0430859375,175416,36.59525381728054,1008.3552816852723,40.831808478094864,2,4,4
1708127964.1685143,27.0450390625,175781,36.804159730394325,1008.3549304280327,40.83474442420607,2,4,4
1708127965.1804757,27.0466015625,178006,37.252489786727445,1008.3574798055528,40.81343574336782,2,3,3
