Timestamp,Counts
3,1711150474.636518
9,1711150484.6467917
12,1711150494.6570697
14,1711150504.6674013
16,1711150514.677669
20,1711150524.687957
26,1711150534.698219
27,1711150544.708469
32,1711150554.7187278
32,1711150564.729009
36,1711150574.7392888
39,1711150584.7495646
