Counts, Timestamp
4,1711149993.1933699
12,1711150003.2012768
21,1711150013.2092848
25,1711150023.2195187
32,1711150033.2298071
41,1711150043.2399838
47,1711150053.2502205
56,1711150063.2604892
65,1711150073.2707522
68,1711150083.2810454
76,1711150093.2912884
86,1711150103.3015647
