Timestamp,Counts
7,1711150160.1692505
14,1711150170.1795182
15,1711150180.1897745
25,1711150190.2000663
31,1711150200.2103267
38,1711150210.2205956
45,1711150220.2308333
52,1711150230.241061
67,1711150240.251384
76,1711150250.2616534
85,1711150260.271929
89,1711150270.282162
