Time,Temperature,Gas,Relative_Humididty,Pressure,Altitude,PM1,PM2.5,PM10
1708732563.4938905,33.914765625,281785,100,698.5282797662979,3029.2371084377414,0,0,1
1708732564.504706,26.2032421875,12753,31.726968555270748,1006.7414351993149,54.32971879131057,0,0,1
1708732565.5156896,26.24328125,17505,32.06515417877951,1006.7466576372752,54.28601104972321,0,0,1
1708732566.5277262,26.2852734375,23360,32.404348961798405,1006.7621253732004,54.15655921420074,0,1,2
1708732567.5397627,26.321796875,29908,32.64525669337266,1006.7598360881582,54.17571848752278,0,1,2
1708732568.5517724,26.3534375,36882,32.770006521738864,1006.7584147654692,54.18761370808726,0,1,2
1708732569.5638201,26.3801953125,44081,32.8189206265708,1006.7596307144609,54.1774372838605,0,0,0
1708732570.5759068,26.4032421875,50761,32.762994884863495,1006.7459580141627,54.29186634007084,0,0,0
1708732571.5879953,26.4231640625,57862,32.65458504455944,1006.7377907224551,54.36022033523199,0,0,0
1708732572.5998387,26.43859375,63911,32.51685630200603,1006.7382032390302,54.356767875724614,0,0,0
1708732573.6106396,26.451875,70713,32.40800463321301,1006.7404142271911,54.33826355491274,0,0,0
1708732574.6214306,26.465546875,77465,32.30505109854609,1006.7326574597962,54.40318205378654,0,0,0
1708732575.6323767,26.4778515625,83358,32.21939087448784,1006.7297402502218,54.42759708000987,0,0,0
1708732576.6431746,26.4872265625,89551,32.11617001994987,1006.7255813999338,54.462403879177344,0,1,1
1708732577.6541567,26.4942578125,94274,31.995479417655144,1006.7193690046124,54.51439769554083,0,1,1
1708732578.6662326,26.5024609375,100387,31.926935057069958,1006.7239034610072,54.476447140244,0,1,1
1708732579.6780946,26.5071484375,104814,31.858103549988,1006.7262420073926,54.45687502819572,0,1,1
1708732580.6888332,26.5122265625,110438,31.800873462489925,1006.7256823532208,54.4615589662132,0,0,0
1708732581.6997685,26.517890625,115582,31.778314638222042,1006.7260776583212,54.458250521811976,0,0,0
1708732582.710986,26.51671875,121141,31.77244234202881,1006.7277023807719,54.44465267164456,0,0,0
1708732583.7217455,26.51515625,126689,31.72617606349348,1006.7233880433644,54.48076085559013,0,0,0
1708732584.7327118,26.5126171875,130915,31.645263494885313,1006.7298539472032,54.42664551385153,0,0,0
1708732585.7446964,26.5126171875,135542,31.535834907259165,1006.7210167796754,54.500606835996365,0,0,0
1708732586.756673,26.5106640625,140625,31.3687967685239,1006.7160657364632,54.54204406476159,0,0,0
1708732587.7685688,26.5065625,144726,31.20750515382391,1006.725286911277,54.46486855695784,0,0,0
1708732588.780572,26.5024609375,149867,31.06360945208998,1006.720368650202,54.50603127720032,0,0,0
1708732589.7925825,26.5024609375,154817,30.925952757583904,1006.7186012449572,54.52082337589969,0,0,0
1708732590.8045807,26.50109375,158006,30.799762706202895,1006.7146052907914,54.55426714075496,0,0,0
1708732591.8166015,26.5008984375,160256,30.679509180587075,1006.7089847252959,54.60130812018997,0,0,0
1708732592.828537,26.4962109375,164634,30.593278563752,1006.7119483598237,54.576504135618286,0,0,0
1708732593.840637,26.49015625,167910,30.495550235975095,1006.719752763992,54.51118586493058,0,0,0
1708732594.8525598,26.4856640625,169769,30.44944143241573,1006.715964982114,54.54288731926821,0,0,0
1708732595.8645978,26.4841015625,173969,30.51788783407506,1006.7169527291804,54.53462046156738,0,0,0
1708732596.8765714,26.4739453125,178571,30.597055762813465,1006.7216053751291,54.49568066002251,0,0,0
1708732597.888534,26.4692578125,182235,30.590927434184692,1006.7281028572927,54.44130095129782,0,0,0
1708732598.9007103,26.4661328125,184830,30.556343412676167,1006.7336126096852,54.395188122362185,0,0,0
1708732599.912678,26.4645703125,187937,30.49332443422556,1006.7310655438301,54.41650528215031,0,0,0
1708732600.924728,26.46203125,190965,30.435961627196892,1006.7357630396523,54.377190561553306,0,0,0
1708732601.9366481,26.459296875,194207,30.332926698180664,1006.7330729315777,54.399704847027046,0,0,0
1708732602.9484985,26.4575390625,195927,30.230051217357715,1006.7231383317578,54.482850782342545,0,0,0
1708732603.9606023,26.456953125,198863,30.14445437702981,1006.7115795016441,54.579591271689466,0,0,0
1708732604.9726062,26.4548046875,201642,30.070171052599044,1006.708077324298,54.60890257732703,0,0,0
1708732605.9846056,26.4471875,204753,30.04672499000605,1006.7186348231355,54.52054234692616,0,0,0
1708732606.9965968,26.4368359375,208222,29.988874930562478,1006.7194326541783,54.51386498764702,0,0,0
1708732608.0086024,26.4266796875,211003,29.925374864805704,1006.7240827678974,54.47494645690493,0,0,0
1708732609.0206144,26.42140625,213446,29.879392893543987,1006.7278563815728,54.44336378792062,0,1,1
1708732610.0325983,26.414765625,215526,29.833309962492415,1006.7223323390386,54.48959642979434,0,1,1
1708732611.044553,26.407734375,217647,29.770151068001063,1006.714404269053,54.55594957624287,0,1,1
1708732612.0563004,26.4036328125,221275,29.72432211204039,1006.7077178850259,54.61191089178041,0,1,1
1708732613.068202,26.3958203125,222313,29.700923481739075,1006.709118836539,54.60018568185911,0,1,1
1708732614.0800426,26.384296875,223361,29.665850659652783,1006.7115380947357,54.57993782434276,0,1,1
1708732615.0920527,26.37609375,228908,29.625389888187932,1006.7140685167428,54.55875962916462,1,1,1
1708732616.1040168,26.364765625,231141,29.613070080771994,1006.7168050103039,54.535856780622325,1,1,1
1708732617.1157625,26.352265625,233581,29.594974154402042,1006.7176303024519,54.528949578547405,1,1,1
1708732618.127472,26.3395703125,237086,29.58254246031474,1006.7128355633547,54.56907874345014,1,1,1
1708732619.138837,26.325703125,238449,29.575690429431177,1006.7149643182852,54.55126228930996,1,1,1
1708732620.15082,26.30265625,241399,29.58509321246397,1006.7091930398374,54.599564640571344,1,1,1
1708732621.1627452,26.2815625,243704,29.57195307320389,1006.7048374474894,54.63601864469553,1,1,1
1708732622.1742902,26.2618359375,245871,29.570283369441462,1006.7044760493762,54.63904336148159,1,1,1
1708732623.186256,26.2391796875,246418,29.574042287222195,1006.6905026422464,54.75599428417442,1,1,1
1708732624.198267,26.21671875,234572,29.56646577457969,1006.6803796222015,54.84072007770088,1,1,1
1708732625.2100816,26.189375,235739,29.5755041666078,1006.6834918988528,54.81467144288121,1,1,1
1708732626.222145,26.15578125,233253,29.54428847578631,1006.6887742362889,54.77046033000249,1,1,1
1708732627.2341752,26.118671875,230498,29.524132957959385,1006.6936169896935,54.72992852979459,1,1,1
1708732628.2461643,26.0809765625,229542,29.503934264262288,1006.6904324780849,54.75658152890858,1,1,1
1708732629.258199,26.0399609375,233089,29.466451213659997,1006.6924237751232,54.73991521702363,1,1,1
1708732630.2701962,26.0036328125,234738,29.423710887702928,1006.6985203872158,54.688889324787674,1,1,1
1708732631.282245,25.9598828125,237426,29.408697570515166,1006.7013345656092,54.665336005882864,1,1,1
1708732632.294297,25.9133984375,240349,29.404791379478496,1006.7138059197224,54.56095741509481,1,1,1
1708732633.3063633,25.8676953125,244602,29.406618263265685,1006.7187119257678,54.5198970447308,1,1,1
1708732634.3183494,25.822578125,244963,29.408495084043103,1006.7245637561863,54.470920895377574,1,1,1
1708732635.33035,25.781171875,246418,29.444678470500037,1006.7205710699969,54.50433714891602,1,1,1
1708732636.3423128,25.7372265625,249382,29.503324521928988,1006.7124287269631,54.57248373347299,1,1,1
1708732637.354311,25.695625,252609,29.53383563622782,1006.6957465508863,54.71210505220435,1,1,1
1708732638.3663263,25.6555859375,250890,29.59283378405586,1006.6710177346796,54.91907609806957,1,1,1
1708732639.3783357,25.6176953125,254157,29.74282854764338,1006.6409654589942,55.17060807241631,0,1,1
1708732640.390622,25.581953125,256317,29.876099272037635,1006.6055914737973,55.46668955920063,0,1,1
1708732641.402642,25.5473828125,258715,29.969777604087053,1006.5756573797917,55.71724554858115,0,1,1
1708732642.4146488,25.51203125,261777,30.006566601654107,1006.5373877501931,56.0375808807823,1,2,2
1708732643.426671,25.4747265625,264490,30.037507408035903,1006.5082819258782,56.28121732747852,1,2,2
1708732644.4387195,25.434296875,268557,30.062497219149233,1006.4881898477248,56.44940563734962,1,2,2
1708732645.450951,25.392890625,271413,30.115849455451052,1006.4682638099777,56.616206728399206,1,2,2
1708732646.4627688,25.3516796875,275240,30.157849669963483,1006.4451229444968,56.809922535193245,1,2,2
1708732647.474318,25.307734375,274557,30.211007392046668,1006.4139871349104,57.07057096115648,1,2,2
1708732648.4863086,25.2653515625,278008,30.27000567070057,1006.3801048484397,57.354218495613196,1,2,2
1708732649.4985406,25.2262890625,278708,30.3179132187379,1006.3428181051744,57.66637557537769,1,2,2
1708732650.5105596,25.190546875,281546,30.36611605785333,1006.307420032454,57.962729752555155,1,2,2
1708732651.5225973,25.1559765625,285421,30.420129547930102,1006.2739326381908,58.24309541785037,1,2,2
1708732652.53462,25.121796875,284443,30.445689006979578,1006.246371771529,58.4738482332822,1,2,2
1708732653.547066,25.0880078125,288148,30.499789740528122,1006.2265000897864,58.64022667392563,1,2,2
1708732654.5600822,25.0473828125,290418,30.541909602703054,1006.21133950099,58.767162617717155,1,2,2
1708732655.5725095,25.010078125,291182,30.601436923461947,1006.1980659481509,58.87830013723043,1,2,2
1708732656.5845227,24.9766796875,295856,30.6613194594437,1006.1788209685734,59.03943764909964,1,2,2
1708732657.5965445,24.9485546875,297714,30.71596785578463,1006.1734693766182,59.08424677675463,1,2,2
1708732658.6082938,24.9188671875,302326,30.76478615607742,1006.165564396943,59.15043589127344,1,2,2
1708732659.6202662,24.88625,305386,30.80193861001011,1006.145822502915,59.31573840620452,1,2,2
1708732660.6324291,24.851875,306798,30.84465756659427,1006.12320865398,59.505091555668805,1,2,2
1708732661.6444829,24.8184765625,308510,30.88746955123142,1006.1039487465226,59.666363774076714,1,2,2
1708732662.6562366,24.7872265625,310531,30.907614949148694,1006.0740915878845,59.916376677257546,1,2,2
1708732663.6680756,24.7575390625,312874,30.94504469847492,1006.0432583640845,60.17456909789836,1,2,2
1708732664.6797688,24.7278515625,313761,30.971046560583304,1006.0071366191802,60.477054887498696,1,2,2
1708732665.691419,24.70109375,313169,31.008741615695897,1005.9793213308574,60.70998787463851,1,2,2
1708732666.7031267,24.674140625,317971,31.029269344793704,1005.9476616983226,60.975120819070085,1,2,2
1708732667.7149537,24.64484375,322922,31.049594381328642,1005.9086512397307,61.301822397631526,1,2,2
1708732668.7266436,24.6141796875,328030,31.058362628809533,1005.8762197273659,61.57343496833832,1,2,2
1708732669.7383103,24.584296875,328680,31.072918439543,1005.8450624095728,61.83438289085183,1,2,2
1708732670.7501,24.5583203125,332968,31.082095201780625,1005.8097082989235,62.13048760585034,1,2,2
1708732671.762047,24.532734375,334310,31.097025986380345,1005.7714678245693,62.45077625066139,1,2,2
1708732672.7739096,24.5071484375,339787,31.117677798710226,1005.7349893920799,62.75631584738721,1,2,2
1708732673.7858512,24.48,338747,31.121032594481875,1005.7135784375099,62.9356559786476,1,2,2
1708732674.7978156,24.4571484375,342594,31.12476191539121,1005.6850861650313,63.17431467643174,1,2,2
1708732675.8098476,24.432734375,345448,31.116915155137008,1005.6681363892459,63.31629301178714,1,2,2
1708732676.821848,24.410078125,346530,31.09206608187494,1005.6522930373787,63.449005234580106,1,2,2
1708732677.8344386,24.386640625,348349,31.050004589906454,1005.6457424121426,63.50387720109396,1,2,2
1708732678.846439,24.3610546875,349450,31.030633431313436,1005.6462514145117,63.49961348154351,1,1,1
1708732679.8583698,24.3395703125,353545,31.000194012499687,1005.6446462151898,63.51305963261442,1,1,1
1708732680.8703442,24.3204296875,353545,30.9756796419807,1005.6345358386499,63.597750854250236,1,1,1
1708732681.882265,24.2973828125,356969,30.93369852527533,1005.6321376828823,63.61783949917446,1,1,1
1708732682.894212,24.2596875,361637,30.861924688758894,1005.623434453947,63.69074421184792,1,1,1
1708732683.906206,24.217109375,366026,30.738444184101322,1005.6208424695287,63.712456698096325,1,1,1
1708732684.9186401,24.17765625,366430,30.626752631663962,1005.6145403210169,63.765248606057554,1,1,1
1708732685.9306638,24.143671875,368465,30.561182720616436,1005.6101179806892,63.80229387579961,1,1,1
1708732686.9428158,24.11359375,368056,30.484601942098944,1005.6155908717426,63.75644832241351,1,1,1
1708732687.9548144,24.078046875,370936,30.436047449861782,1005.6156504894269,63.755948915495836,1,1,1
1708732688.9667618,24.038203125,372602,30.364405631652915,1005.617490525848,63.7405352639655,1,1,1
1708732689.9785783,23.9950390625,373021,30.315260723461712,1005.6156613322313,63.7558580872251,1,1,1
1708732690.9905448,23.9473828125,374706,30.294167881086857,1005.6135288556297,63.773721485545764,1,1,1
1708732692.0025628,23.901875,378197,30.2619039225373,1005.6060945535742,63.83599762505768,1,1,1
1708732693.0145297,23.85890625,379474,30.275304417907307,1005.6010391254842,63.87834647310718,1,1,1
1708732694.0265567,23.8157421875,383140,30.265968336662503,1005.6026969634477,63.86445890062081,0,1,1
1708732695.0385365,23.770625,382271,30.245112882958537,1005.6081951925011,63.81840082003208,0,1,1
1708732696.0504947,23.730390625,384012,30.224677566963624,1005.6023031664762,63.86775770383682,0,1,1
1708732697.0624807,23.696015625,388884,30.227449431681915,1005.5901401231716,63.96964698204634,1,1,1
1708732698.074456,23.6596875,386433,30.264120468152644,1005.5870990843036,63.995121786677785,1,1,1
1708732699.0864933,23.624140625,387989,30.312221891281364,1005.5853288770724,64.00995085420436,1,1,1
1708732700.098448,23.5872265625,390687,30.257995086760598,1005.5901161653305,63.969847676811476,1,1,1
1708732701.110349,23.5520703125,392506,30.40837520587611,1005.5713803842374,64.12679844552984,1,1,1
1708732702.1222987,23.5176953125,393193,30.428190619704225,1005.5750273468848,64.09624743378922,1,1,1
1708732703.1342483,23.4833203125,396429,30.368458521706454,1005.5892229423341,63.97733020599478,1,1,1
