Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712963691.17,0,0,32.8,0.0,1.0,1.4,27.1520703125,30.696679190788974,997.6478899123069,130.71561207555754,108770.0
1712963696.1,0,0,31.8,0.0,1.0,1.4,27.2541796875,29.9943370346815,997.643962652882,130.74872267610078,151000.8
1712963701.11,0,0,34.0,0.0,1.0,1.2,27.2541796875,29.9943370346815,997.643962652882,130.74872267610078,151000.8
1712963706.09,0,0,32.2,0.0,1.0,1.2,27.282109374999997,29.434222974225474,997.6462305780085,130.72960185494247,180307.2
1712963711.14,0,0,33.8,0.0,1.0,1.0,27.334062499999998,29.1445714048403,997.6525902312411,130.67598398857425,201859.0
1712963716.1,0,0,35.8,0.0,1.0,1.0,27.402734375,29.051703740258084,997.6618556512373,130.59786827266072,220338.4
1712963721.13,0,0,35.0,0.0,1.0,1.0,27.4724609375,28.964639018914397,997.6218420235246,130.93522328911976,235408.8
1712963726.11,0,0,32.6,0.0,1.0,1.0,27.531367187499995,28.89934905133678,997.6538881663248,130.6650412627151,247849.8
1712963731.15,0,0,32.6,0.8,1.0,1.0,27.4633984375,28.77029914525491,997.6383609838485,130.79595062441535,262381.6
1712963736.1,0,0,26.8,0.8,1.0,1.0,27.365234375,28.635476182324567,997.6105421579881,131.03049441240105,271796.0
1712963741.13,0,0,31.8,0.4,0.4,0.4,27.253046874999995,28.618253817617568,997.5515627755743,131.5277739236154,281382.4
1712963746.1,0,0,34.2,0.4,0.4,0.4,27.1046875,28.76528167698574,997.4706036907204,132.21041789676315,288612.6
1712963751.13,0,0,27.4,0.0,0.6,0.6,26.951015625000004,28.951548648104144,997.3106378523637,133.5593644588803,296060.6
1712963756.11,0,0,35.2,0.0,0.6,0.6,26.788359375000006,29.154214381400596,997.1336699882775,135.05189229522588,300970.8
1712963761.12,0,0,33.8,0.0,0.0,0.0,26.652265625000002,29.243630069860775,996.9868227479404,136.2905400368773,310399.6
1712963766.1,0,0,28.6,0.0,0.0,0.0,26.520820312499996,29.187263717228348,996.8403933606618,137.52581488612648,316898.6
1712963771.14,0,0,25.8,0.0,0.0,0.0,26.417656250000004,29.194470661118963,996.7060326910257,138.6594141760994,324133.2
1712963776.08,0,0,25.8,0.0,0.0,0.0,26.306015624999997,29.230415720493703,996.5480928988045,139.9920941916775,331646.6
